                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0514,                  1.377,                 1.2885,                      1,                 0.3902,                0.86425,                0.44862,                 1.6256,                 2.6712,                 1.5677,                0.00056,                0.00056,                0.00056
                      2,                 1.1357,                 1.4502,                 1.3569,                0.79742,                0.71429,                0.77461,                0.45279,                 1.4938,                  1.767,                 1.4783,              0.0010949,              0.0010949,              0.0010949
                      3,                 1.1248,                 1.4096,                 1.3538,                0.77283,                0.69388,                0.77255,                0.40499,                 1.6035,                 3.0971,                 1.8066,              0.0015838,              0.0015838,              0.0015838
                      4,                 1.1969,                 1.4304,                 1.3845,                0.49608,                0.65306,                0.53148,                0.23032,                 1.8086,                 5.2214,                 1.9496,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1486,                 1.2834,                 1.3756,                0.70718,                0.59184,                0.58645,                0.27677,                 1.7624,                 1.7099,                 1.7405,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.158,                 1.2203,                 1.3724,                 0.5703,                0.51471,                0.49846,                0.18779,                  1.714,                 2.8071,                 1.8612,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.0872,                   1.14,                 1.2891,                0.79032,                0.55102,                0.68547,                0.38094,                 1.6043,                 1.9392,                 1.6232,               0.001604,               0.001604,               0.001604
                      8,                 1.0698,                 1.0529,                 1.2968,                0.83617,                 0.7551,                0.85908,                0.58455,                 1.2319,                 1.0117,                 1.3082,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0973,                 1.0266,                 1.3102,                0.81014,                0.77551,                0.84513,                0.51297,                 1.2347,                0.92144,                 1.3399,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0805,                0.96569,                 1.2917,                0.77572,                0.65306,                0.77232,                0.46976,                 1.2875,                 1.4276,                 1.3849,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0133,                0.91579,                 1.2475,                0.87925,                0.81633,                 0.8983,                0.50807,                 1.6289,                0.90257,                 1.5753,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0127,                0.88526,                 1.2458,                0.95387,                0.85714,                0.91168,                0.50322,                 1.8456,                 0.8292,                 1.6773,               0.001208,               0.001208,               0.001208
                     13,                0.95027,                0.78237,                 1.2188,                   0.95,                0.77543,                0.89778,                0.44355,                 2.0589,                 1.0562,                 1.9017,              0.0011288,              0.0011288,              0.0011288
                     14,                0.97246,                 0.7913,                 1.2078,                0.93956,                0.73469,                0.81852,                0.38069,                 2.0745,                 1.4504,                 1.9478,              0.0010496,              0.0010496,              0.0010496
                     15,                0.92319,                0.73324,                 1.2063,                 0.9108,                0.85714,                0.89313,                0.49301,                 1.8327,                0.80907,                 1.8008,              0.0009704,              0.0009704,              0.0009704
                     16,                0.87191,                0.73737,                 1.1707,                 0.8457,                 0.7831,                0.76529,                0.35652,                 1.9384,                 1.2382,                 1.9172,              0.0008912,              0.0008912,              0.0008912
                     17,                0.88054,                 0.7515,                 1.1975,                0.87169,                0.83196,                0.88331,                 0.4827,                 1.6096,                0.84623,                 1.6552,               0.000812,               0.000812,               0.000812
                     18,                0.88993,                0.69421,                 1.1953,                0.93001,                0.81633,                0.86604,                0.41705,                 2.0557,                 1.1045,                 2.0273,              0.0007328,              0.0007328,              0.0007328
                     19,                0.82014,                0.60188,                 1.1671,                0.69312,                0.69144,                0.71894,                0.39001,                 1.6388,                 1.0905,                 1.6188,              0.0006536,              0.0006536,              0.0006536
                     20,                0.83266,                 0.5891,                 1.1569,                0.92906,                0.85714,                0.90433,                0.54868,                 1.4541,                0.73532,                 1.4202,              0.0005744,              0.0005744,              0.0005744
                     21,                0.78661,                0.51166,                 1.1209,                0.97615,                0.83532,                0.91191,                0.50037,                 1.7267,                0.70626,                 1.6518,              0.0004952,              0.0004952,              0.0004952
                     22,                0.75791,                 0.5174,                 1.1343,                0.96362,                0.77551,                0.90278,                0.53277,                  1.471,                0.68171,                 1.5121,               0.000416,               0.000416,               0.000416
                     23,                0.73797,                 0.4978,                 1.1073,                0.96119,                0.79592,                0.91039,                0.57729,                 1.4021,                0.65477,                 1.4282,              0.0003368,              0.0003368,              0.0003368
                     24,                0.68798,                0.46932,                 1.0944,                0.96846,                0.73469,                0.87724,                0.48966,                 1.7347,                 1.0621,                 1.6854,              0.0002576,              0.0002576,              0.0002576
                     25,                0.70369,                0.47424,                 1.0669,                 0.9748,                0.78952,                0.90451,                0.53969,                  1.486,                0.71026,                 1.4905,              0.0001784,              0.0001784,              0.0001784
